ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Affiliation,Areas,Varieties
mcsumbawa,Sumbawa,Papunesia,-8.71919,117.472,sumb1241,,"Austronesian, Malayo-Polynesian, Bali-Sasak-Sumbawa","Sumbawa island, Indonesia",Sumbawa Besar
en,English,,,,stan1293,,,,
